Id,User_Name,Department_Id
110,Brandy Wells,4
111,Nicole Yang,5
112,Wesley Martinez,1
113,Anthony Mendoza,5
114,Crystal Gonzalez,5
115,Shaun Rocha,1
116,Jeremy Stewart,2
117,John Cole,2
118,Michelle Carey,5
119,William Lang,6
120,Jennifer Robinson,8
121,Caitlyn Davenport,5
122,Nathaniel Richardson,5
123,Lawrence Fernandez,5
124,Sandra Mcdaniel,6
125,Sean Lara,8
126,Calvin Powell,1
127,Patty Norris,2
128,Jennifer Payne,8
129,Nicole Owen,4
130,Kaitlyn Johnson,4
131,Jody Pearson,4
132,Ms. Monica Duncan,4
133,Richard French,1
134,Jennifer Murphy,3
135,Gary Garcia,8
136,Paula Johnson,5
137,Todd Cruz,7
138,Mark Booth,5
139,Mary Clay,7
140,William Roth,1
141,Deanna Brooks,3
142,Bryan Fisher,6
143,Timothy Andrews,4
144,Sarah Bentley,4
145,Danielle Davis,4
146,Frederick Wright,4
147,Julie Savage,2
148,Brittany Green,6
149,James Vargas,1
150,William Ayala,8
151,Jennifer Salazar,5
152,Nathan Robinson,4
153,Diane Grant,4
154,Billy Hernandez,4
155,Aaron Johnson,8
156,Leslie Jones,5
157,Kelsey Payne,7
158,Amber Walsh,5
159,Austin Powell,3
160,Kevin Tate,5
161,Ian Robinson,3
162,Sarah Johnson,5
163,Kelly Greer,1
164,James Mitchell,6
165,Tommy Burch,4
166,Dan Cross,4
167,Steven Schmidt,4
168,Nicholas Sloan,4
169,Brandon Crawford,4
170,Russell Callahan,4
171,Evan Hughes,4
172,Anthony Hall,4
173,Steve Hays,1
174,Allison Cortez,8
175,Robert Norris,1
176,Angela Rocha,5
177,Kimberly Walter,6
178,Alexander Rodriguez,7
179,Abigail Morse,4
180,Christopher Newman,4
181,Christopher Blankenship,5
182,Jamie White,3
183,David Frazier,6
184,Rebecca Anderson,4
185,Ms. Jody Williams DDS,3
186,Elizabeth Watson,2
187,Tammy Hawkins,8
188,Robert Morris,1
189,Paul Farmer,6
190,David Hoffman,4
191,Jacob Golden,4
192,Elizabeth Jones,4
193,Caleb Ford,4
194,Terri Moran,4
195,Kayla Edwards,7
196,Stephanie Pope,1
197,Darren Frazier,3
198,Joseph Bowers,2
199,John Paul,8
200,Kayla Jones,1
201,Eric Hughes,7
202,Heather Hughes,4
203,Darren Ruiz,4
204,Jeffrey Leon,8
205,Stephanie Boyd,1
206,Victoria Ramirez,6
207,Veronica Jones,6
208,Robert Fry,2
209,Nathan Franklin,5
210,Melanie Flores,7
211,Michael Francis,8
212,Matthew Drake,7
213,Alexis Wood,4
214,Brandon Graham,4
215,Jared Miller Jr.,4
216,Sandra Conley,1
217,Mrs. Maria Greer,3
218,Rachel Hale,5
219,Gerald Shaw,2
220,Mrs. Jasmine Harris,3
221,Terri Miller,2
222,Michael Lee,3
223,Paul Hernandez,1
224,Sarah Cabrera,1
225,Nicholas Jones,5
226,Kayla Howard,3
227,Brittney Miller,4
228,Alexis Brown,4
229,Kelly Stevens,4
230,Brent Jones,4
231,Jeremiah Hooper,4
232,Travis Flores,6
233,Michelle Smith,8
234,Brian Whitaker,1
235,Donna Richardson,3
236,Angel Richards,6
237,Carlos Black,5
238,Anthony Zavala,4
239,Steven Galvan,4
240,Russell Johnson,4
241,Daniel Bruce,4
242,Ronald Davis,3
243,Tyler Bullock,3
244,Carl Robinson,3
245,Carl Robertson,3
246,Krista Martin,5
247,James Sosa,3
248,Tonya Brooks,2
249,Sherry Ford,7
250,Andrew Le,5
251,Michelle Johnson,7
252,Sarah Baker,8
253,Robert Burke,3
254,Tommy Sanchez,1
255,Katherine Watkins,4
256,Donna Martinez,4
257,Theodore Williamson,4
258,Alec Small,5
259,Ricky Tran,2
260,Robert Leblanc,3
262,Vanessa Evans,4
265,Monica Hall,4
266,Robert Gonzalez,1
267,Christopher Blair,4
268,Tina Jones,7
269,William Rivera,8
270,Danielle Smith,1
271,Lance Brown,6
272,Joseph Wilson,5
273,Eric Johnson,1
274,Gregory Perez,2
275,Donna Garcia,1
276,Brett Morales,7
277,Steven Rowe,7
278,Cynthia Thompson,6
279,Paul Wilson,3
280,Sharon Olsen,8
281,Kirk Lewis,5
282,Kristi Wilson,2
283,Gregory Wyatt,3
284,Leslie Dawson,7
285,Corey Daniels,1
286,Joseph Nguyen,3
288,Adam Brandt,8
290,Emily Fisher,2
291,Steven Scott,1
292,Jerry Allen,1
293,Jennifer Martinez,2
294,Jennifer Copeland,6
296,Denise Williams,4
298,Jonathan Rush,4
299,Edward Wright,2
300,Jennifer Bailey,6
301,Daniel Bentley,4
302,Nathaniel Quinn,8
303,Michael Mckinney,8
305,Mr. David Miller MD,4
306,Katrina Mitchell,2
307,Michael Garcia,2
308,Jenna Johnson,6
310,Douglas Lopez,7
313,David Obrien,8
314,Evan Flores,3
315,Taylor Adams,6
316,Phyllis Carrillo,6
317,Michael Burke,7
318,Joshua Fitzpatrick,5
319,Bruce Meyers,1
320,Anita Harvey,1
321,Kathleen Estrada,6
322,Max Wallace,3
323,Joseph Cowan,8
324,Anthony Cooper,3
325,Jimmy Williams,6
327,Billy Coleman,2
329,Angela Sullivan,3
330,Jason Fisher,5
331,Kelly Jordan,5
332,William Lang,1
333,Jimmy Anderson,6
334,Tammy Fernandez,2
335,Kevin Howard,8
336,Connie Chavez,6
337,Christian Smith,4
338,Brett Vazquez,6
340,Shannon Wiley,6
343,Tara Mitchell,3
344,Kristi Howard,2
345,Dr. Tammy Flowers,3
346,Catherine Gonzales,3
347,Jeffrey Gregory,8
348,Vanessa Becker,2
350,Ryan Johnson MD,4
351,Michael Ramsey,4
353,Carolyn Blankenship,4
354,Joseph Jenkins,7
356,Mark Garcia,3
357,Kenneth Gordon,8
358,Michael Flowers,2
359,Kevin Boyd,8
360,Lauren Taylor,1
361,Jared Gill,7
362,Theresa Dean,8
363,Sherry Foster,1
364,Jonathan Fry,4
366,Derrick Marks,5
367,Joseph Miller,5
368,Debbie Fischer,4
369,Lauren Guzman,4
370,David Hernandez,4
371,Jose Booth,3
372,Darren Mccormick,3
373,Virginia Thompson,7
375,Angela Ellis,5
378,Christopher Horn,2
381,Michael Fleming,4
382,Elizabeth Kane,6
383,Joseph Palmer,1
384,Danielle Thomas,6
385,Michael Lambert,6
386,Kayla Dean,6
387,Tristan Vasquez,1
389,Jonathan Carson,4
390,Mr. Michael Ortiz,4
392,Megan Gonzalez,4
393,Amanda Martinez,3
394,Judy Smith,2
395,Rebecca Peck,7
396,Thomas Wright,8
397,Carl Lewis,4
400,Leah Wheeler,1
401,Michael Castillo,8
402,Nathan Irwin,4
403,Jordan Alvarez,4
404,Carolyn Olson,1
405,Hailey Morrison,3
406,Timothy Green,4
407,Erica Chandler,3
408,Angela Day,7
409,Janet Brown,5
410,Todd Robertson,2
412,Sharon Cox,4
413,James Thompson,8
414,Adam Lowe,6
415,Ray Diaz,5
416,Sharon Mccormick,7
417,Bryan Cherry,7
418,Alan Robinson,8
419,Jason Campbell,4
420,Dr. Ian Paul PhD,2
421,Mario Franklin,7
422,Seth Drake,8
423,Holly Walsh,5
424,Erin Moody,7
425,Bradley Collins,1
426,Christopher Rose,2
427,Mrs. Ann Gay,6
428,Renee Griffin,3
429,Martin Obrien,8
430,Morgan Raymond,5
431,Michael Miller,4
432,Carl Fox,6
433,Robert Johnson,4
434,Raymond Zimmerman,6
435,Christopher Riddle,4
436,Melanie Gibson,8
437,Annette Garcia,5
438,Amy Grant,4
439,Sharon Bennett,7
440,Rachel Cook,4
441,Bobby Weaver,4
442,Vanessa Gutierrez,2
443,Kurt Castro,4
444,Mark Andrews,4
445,Linda Brown,8
446,Keith Hurst,3
447,Autumn Joyce,4
448,James Butler,4
449,Brandon Massey,7
450,Karen Burke,5
451,Rodney Martinez,5
452,Amanda Adams,4
453,Michelle Dyer,4
455,Mrs. Victoria Martinez,5
457,David Baker,1
459,Edward Martin,5
460,Natalie Stewart,1
461,Dominique Santos,7
462,Brandon Mcknight,2
463,Amy Goodwin,6
464,Douglas Velasquez,2
465,Sean Cannon,4
466,Nicholas Howard,7
467,Kenneth Hansen,4
468,Ryan Hale,4
469,Timothy Harrison,4
470,Jennifer Cox,1
471,James Williams,7
472,David Brown,4
473,Joseph Turner,6
474,Crystal Carson,3
476,John Garrett,3
477,Philip Mack,7
478,Joseph Morgan,1
480,Danielle Jenkins,2
481,Jesse Lopez,4
482,Brandy Stevens,8
483,John Jackson,4
484,Michael Pacheco,2
485,Jasmine Patterson,7
486,Brenda Schultz,4
488,Lonnie Galvan,4
489,Sonia Martinez,3
490,Melissa Jones,4
492,Christine Frost,7
494,Shannon Mejia,2
495,Melissa Collier,6
496,Amber Mills,5
497,Patricia Miller,1
498,Carlos Evans,6
500,David Mcdaniel,4
501,Dana Ortiz,4
502,Kimberly Hawkins DDS,4
503,Anna Proctor,1
504,Lance Osborne,7
505,Jessica Acevedo,6
507,Stacy Morris,6
509,William Austin,6
510,Mark Harris,3
511,James Hansen,2
512,Julie Jones,8
513,Norman Horton,1
514,Hunter Gallegos,3
515,Ashley Gonzalez,6
516,Debra Owen,5
517,Lisa Clark,4
519,Heather Hill,4
520,Yvonne Miller,4
521,Alicia Cole,7
522,Steven Ruiz,2
524,Arthur Walker,2
525,Jared Morrison,2
526,Sarah Crawford,3
528,Laura Morris,8
529,William Salinas,5
530,Amanda Alvarez,5
531,Terry Cox,7
532,Aaron James,2
533,Melinda Myers,5
534,Lawrence Andrews,8
535,Lisa Warren,5
536,Dawn Carroll,4
537,Charles Morgan,3
538,Cassandra Herrera,4
539,Danielle Norris,8
540,Teresa Fletcher,8
543,Kristin Fields,5
546,Jason Munoz,5
549,Wanda Stephens,5
551,James Tucker,1
552,Logan Baker,2
554,Alexis Salinas,2
555,Michael Castillo,2
556,Austin Nash,8
558,Thomas Martinez,1
562,Bethany Fletcher,6
563,Robert Ray,6
566,Crystal Friedman,6
567,Hailey Scott,1
568,Sarah Chambers,8
569,Michelle Sexton,1
570,Randy Jordan,8
571,Joseph Welch,8
572,Amy Moore,7
573,Arthur Sampson,6
574,Tonya Murphy,7
575,Julie Wright,1
576,Tracey Patterson,5
578,Cody Rogers,7
580,Christopher Stanton,2
581,Adam Black,3
583,Sara Fuller,5
587,Kyle Smith,6
588,Bobby Andrews,3
589,Brian Wallace,1
590,Paula Carter,5
591,Calvin Moyer,3
592,Brett Sexton,1
593,Kristina Morgan,2
595,Andrew Saunders,2
596,Megan Crosby,8
597,Brooke Smith,8
598,Cynthia Smith,5
599,Monica Hall,8
600,Sandy Harvey,6
601,Jeffrey Jimenez,6
602,Michelle Tran,8
605,Kristin Schwartz,5
606,Christopher Flores,1
607,Alyssa Juarez,8
608,Nicholas Quinn,2
609,Melanie Ortiz,5
610,Allen Hernandez,1
611,Anna Myers,1
612,Andrew Flores,2
613,Sharon Mckay,3
614,Kimberly Holland,3
615,James Owen,2
617,Craig Coleman,7
620,David Hawkins,2
621,Michael Lopez,2
622,Jennifer Ramsey,5
624,Michael Shaw,1
625,Carrie Horn,6
626,Valerie Glass,2
627,Heather Mcdonald MD,2
628,Crystal Brown,1
629,Ryan Hill,8
631,Corey Evans,2
632,Brian Reynolds,8
633,Charles Wilson,7
636,Sarah Black,5
638,Tracy Williams,5
640,Harold Fitzgerald,6
642,Christopher Little,7
643,Ashley Russell,7
644,David Collins,1
645,Laura Ruiz,5
646,Brittany Washington,8
649,Emily Sanchez,5
650,Ms. Tiffany Ray,6
651,Bryan Smith,3
653,Chelsea Gibson,7
655,Douglas Johnson,8
656,Dawn Williams,2
658,Tiffany Taylor,7
659,Alyssa Johnson,2
660,Vincent Pierce,6
661,Lori Steele,1
662,Ryan Thompson,6
664,Terry Burton,2
666,James Shelton,8
668,William Lee,2
669,Brian Carr,1
671,Emma Lawson,6
672,Joseph Lang,8
673,Sarah Herrera,8
674,Valerie Walton,7
677,Brian Hood,2
678,Trevor Diaz,1
680,Levi Perez,7
681,Susan French,2
683,Norma Perez,1
685,Tracey Lee,2
686,Stacy Johnson,7
688,Austin Reed,7
689,Victoria Le,7
690,John Gross,3
691,Mary Perez,6
692,Molly Conner,6
693,Michael Norton,5
695,Allen Robertson,6
696,Michael Barnes,3
698,Duane Flynn,5
699,Matthew Johnson,6
700,Heather Coleman,1
702,Michele Roberts,5
703,Joshua Park,8
704,Megan Blackburn,8
705,Andrew Lee,5
706,Ronald Montgomery,5
707,Melissa Parsons,5
708,Sarah Ferguson,3
709,Angelica Lambert,8
713,Joseph Ramirez,1
714,Mariah Baker,8
715,Kathryn Howard,3
716,Sheri Diaz,3
717,Angel Butler,6
718,Ann Steele,1
719,Michael Shaw,2
720,Gregory Smith,2
721,Jeremiah Taylor,1
722,Jason White,5
723,Adrian Jacobs,8
724,Miss Amy Oliver DDS,7
725,Brittany Spence,5
727,Bryan Crawford,2
728,Mr. George Hughes,5
729,Donald Miller,3
732,Jesse May,6
734,Jose Salazar,6
735,Brandon Dorsey,5
736,Kevin Wilcox,3
737,Eric Price,8
738,John Sanchez,2
739,Vincent George,6
741,Janet Patterson,1
743,Anthony Martin,6
745,Melissa Thornton,6
746,Jacob Foley,6
748,Jessica Lawrence,8
749,Joseph Dominguez,6
750,Maria Shepherd DVM,2
751,Crystal Hernandez,7
752,Amy Payne,1
753,Nancy Wiggins,5
754,Allison Duran,6
755,Dillon Gordon,1
756,Jeffrey Baker,2
757,Amber Davis,2
759,David Young,3
760,Isabella Allison,8
761,Pamela Baker,6
763,Gloria Allen,1
765,Frederick Cook,5
766,Paul Howell,1
767,Debra Williams,8
768,Thomas Allen,2
769,Ellen James,1
770,Paige Cobb,6
774,Christopher Fox,1
775,Brenda Johnston,5
776,Steven Pena,6
777,Stephanie Davis,1
778,Melissa Wright,1
779,Lisa Meza,8
780,Paige Berry,5
782,Jacob Ramirez,5
783,Jessica Welch,1
784,Gabrielle Burns,5
785,Andres Jones,6
787,Elizabeth Johnston,6
788,April Ramirez,1
789,Gina Kennedy,3
790,Emily Carpenter,1
791,Brandon Miller,3
793,Cassandra Russell,8
796,David Smith,3
798,Charles Valdez,5
800,Andrea Thompson,3
801,Julie Vaughn,6
802,Daniel Garcia,5
803,Christian Boyd,2
804,Mr. Thomas Smith,6
805,Chad Kirby,7
807,Danielle Ellis,5
808,Michael Wilson,8
809,Leslie Ware,2
810,Lawrence Davila,1
811,Samuel Romero,8
812,Angelica Smith,1
815,Diana Stone,5
817,Joseph Hill,3
820,Michelle Chandler,3
821,Dave Shields PhD,5
822,Emily Scott,7
823,Brian Martin,1
824,Michael Morgan,6
825,Jeanne Koch,5
826,William Moore,3
827,Robert Green,7
828,Louis Moran,2
829,Melissa English,7
830,Jared Graham,7
831,Dominique Thompson,1
832,Jasmin Thomas,8
833,Steven Briggs,1
834,Tyler Lynch,3
835,Anthony Salazar,8
838,Ronald Watson,7
840,James Figueroa,5
841,Kelly Williams,1
842,Katelyn Kelly,8
843,Derrick Smith,8
844,Tamara Banks,6
845,Jonathan Garrett,5
846,Karen Cordova,5
849,Elizabeth Durham,3
850,Olivia Smith DDS,6
852,Jeremy Moore,1
854,Kevin Harrison,3
855,William Ross,5
856,Anthony Foster,7
857,Amy Wilson,6
858,Mark Leonard,2
859,Nancy Hoffman,6
860,Troy Thornton,7
861,Michael King,5
862,Bruce Jacobs,6
863,Austin Mcdonald Jr.,6
864,Michael Fisher,5
866,William Gates,2
868,Laura Todd,5
869,Timothy Stewart,1
870,Austin Jackson,1
871,Edward Johns,8
872,Fernando Jackson,3
873,Justin Holmes,8
874,Nicholas Cox,5
875,Kylie Gomez,2
876,Carrie Leon,7
877,Regina Perez,3
878,Mark Adams,1
879,Luis Rivera,7
880,Jennifer Armstrong,2
881,Brian Barrett,6
882,Benjamin Webster,7
884,Jennifer Mason,2
885,Nathan Morales,1
887,Amy Chan,2
889,John Warren,5
890,Justin Murphy,5
891,Eric Solomon,7
892,Jenny Hines,2
893,Kara Nicholson,5
894,Shannon Stevenson,2
895,Henry Harris,1
896,Mr. Joseph Smith,2
898,Michelle Maldonado,6
899,Laura Allen,8
901,Abigail Fields,9
903,Daniel Terrell,3
904,Joseph Brown,8
907,Brad Davis,5
908,Craig Mcfarland,3
909,Mrs. Jessica Blackwell,8
910,Keith Matthews,3
912,Samantha Dunlap,3
913,Zachary Foster,2
914,Julian Cardenas,8
915,Eric Ramos,1
916,Sonya Mccann,8
917,Jason Mercer,2
918,Anna Walters,3
920,Leonard Lynch,1
921,Vanessa Nelson,2
922,Benjamin Bush IV,8
923,Edward Mason,2
924,Barbara Butler,2
926,Leslie Holmes,2
927,Anna Graham,6
928,Jo Cox,5
929,Kenneth Carey,8
930,Dr. Robert Hall,5
932,Amber Serrano,1
933,Stephanie Ford,8
934,Alejandro Russell,3
935,Marcus Rivera,6
936,Brian Reed,7
937,Linda Rivera,8
938,Linda Erickson,8
939,Rachel Jarvis MD,3
940,Michael Collins,6
943,Tyler Hansen,6
944,Marcus Davis,8
946,Holly Hill,1
948,Jared Brock,2
950,Ray Lee,3
951,Brad Davies,6
953,Jessica Hernandez,6
954,Sonya Wong,3
956,Lisa Salazar,2
957,Jonathan Terry,5
958,Lauren Moyer,1
959,Adam Andrews,2
960,David Brown,3
962,Omar Lopez,2
963,Ronald Moore,8
964,John Rosario,1
965,Miguel Anderson,2
966,Jake Lynch,1
967,Sarah Welch,7
969,Tammy Scott,1
970,Erica Mcclure,7
971,Bradley Duran,1
973,Jennifer Shepard,8
974,Wendy Wagner,6
975,Allison Garcia,3
976,Stuart Hayes,7
979,Jennifer Webster,5
980,Eileen Hughes,3
981,Felicia Norton PhD,3
983,Linda Robertson,5
984,Christopher Turner,2
986,Derek Wilson,2
988,Alexandra Rodriguez,2
989,Jordan Dougherty,7
990,Lee Olson,7
992,Amy Wiley,5
994,Tanya Lane,1
996,Cassandra Jefferson,6
